SolverPartName	circuitoId	ATTiny85	Teensy32	Details
IRObjAvoid5v	!811437	TRUE	TRUE	
IRPosCamera	838186	FALSE	TRUE	
IRPosCamera3v3	!838186	FALSE	TRUE	
IRPosCamera5v	!838186	FALSE	TRUE	
IRProximity	848753	TRUE	TRUE	
Joystick	611984	TRUE	TRUE	
Joystick3v3	!611984	TRUE	TRUE	
Joystick5v	!611984	TRUE	TRUE	
JoystickPSP	476174	TRUE	TRUE	
JoystickPSP3v3	!476174	TRUE	TRUE	
JoystickPSP5v	!476174	TRUE	TRUE	
JoystickSF	713952	TRUE	TRUE	
JoystickSF3v3	!713952	TRUE	TRUE	
JoystickSF5v	!713952	TRUE	TRUE	
Keypad	8653	FALSE	TRUE	
KeyPadMem1x4	8655	FALSE	TRUE	
KeyPadMem3x4	8654	FALSE	TRUE	
L293D1M	7654340	FALSE	TRUE	
L293D2M	7654341	FALSE	TRUE	
Laser	193622	TRUE	TRUE	
LaserModule	193621	TRUE	TRUE	
LCD16X2	341099	FALSE	TRUE	
LCD16X2I2C	417986	TRUE	TRUE	
LCD20X4I2C	417987	TRUE	TRUE	
LDR	9088	TRUE	TRUE	
LDR3v3	!9088	TRUE	TRUE	
LDR5v	!9088	TRUE	TRUE	
LED_IR	9349	TRUE	TRUE	
LED_IR_RPI	!9349	FALSE	TRUE	
LED_IR3v3	!9349	TRUE	TRUE	
LED_IR5v	!9349	TRUE	TRUE	
LEDBar	9938	FALSE	TRUE	
LEDBarI2C	901920	FALSE	TRUE	
LEDBarI2C3v3	!901920	FALSE	TRUE	
LEDBarI2C5v	!901920	FALSE	TRUE	
LEDBlue	11372	TRUE	TRUE	
LEDBlue3.3v	!11372	TRUE	TRUE	
LEDBlue5v	!11372	TRUE	TRUE	
LEDGreen	9591	TRUE	TRUE	
LEDGreen3.3v	!9591	TRUE	TRUE	
LEDGreen5v	!9591	TRUE	TRUE	
LedMatrix	281909	FALSE	TRUE	
LedMatrixMini	912191	FALSE	TRUE	
LedMatrixMini3v3	!912191	FALSE	TRUE	
LedMatrixMini5v	!912191	FALSE	TRUE	
LedMatrixRGB	763365	FALSE	TRUE	
LEDPixie3W	469778	TRUE	TRUE	
LEDRed	9590	TRUE	TRUE	
LEDRed3.3v	!9590	TRUE	TRUE	
LEDRed5v	!9590	TRUE	TRUE	
LedRGBWS2812	855863	TRUE	TRUE	
LedRing12	964450	TRUE	TRUE	
LedStick	216577	TRUE	TRUE	
LedStrip	12027	TRUE	TRUE	
LEDStripDotStar	530717	TRUE	TRUE	
LedStripRGB	12021	TRUE	TRUE	
LedStripS	12022	TRUE	TRUE	
LEDUV	8662	TRUE	TRUE	
LEDUV3.3v	!8662	TRUE	TRUE	
LEDUV5v	!8662	TRUE	TRUE	
LedWS2812Breakout	758938	TRUE	TRUE	
LEDYellow	9594	TRUE	TRUE	
LEDYellow3.3v	!9594	TRUE	TRUE	
LEDYellow5v	!9594	TRUE	TRUE	
LIDARlitev3	14032	FALSE	TRUE	
LIDARVL53	219866	FALSE	TRUE	
LipoBattery3v7	13813	TRUE	TRUE	
LipoBattery7v4	11856	TRUE	TRUE	
LM35	333429	TRUE	TRUE	
LM353v3	!333429	TRUE	TRUE	
LM355v	!333429	TRUE	TRUE	
LoadCellHX711SF	13879	TRUE	TRUE	https://ilias.giechaskiel.com/posts/arduino_scale/index.html
LoadCellHX711SF3v3	!13879	TRUE	TRUE	
LoadCellHX711SF5v	!13879	TRUE	TRUE	
LSM303	597144	TRUE	TRUE	
LSM3033v3	!597144	TRUE	TRUE	
LSM3035v	!597144	TRUE	TRUE	
LSM9DS1	779831	FALSE	TRUE	
LSM9DS1-3v3	!779831	FALSE	TRUE	
LSM9DS1-5v	!779831	FALSE	TRUE	
MagneticDoorSwitch	653574	TRUE	TRUE	
MagneticDoorSwitch3v3	!653574	TRUE	TRUE	
MagneticDoorSwitch5v	!653574	TRUE	TRUE	
MAX30105	220687	TRUE	TRUE	
MAX30105-3v3	!220687	TRUE	TRUE	
MAX30105-5v	!220687	TRUE	TRUE	
Mic	9964	TRUE	TRUE	
Mic3v3	!9964	TRUE	TRUE	
Mic5v	!9964	TRUE	TRUE	
MicroOLED	460448	FALSE	TRUE	
MicroSwitch	305155	TRUE	TRUE	
MicroSwitch3v3	!305155	TRUE	TRUE	
MicroSwitch5v	!305155	TRUE	TRUE	
MICS5524	688852	TRUE	TRUE	
MLX90614	9570	TRUE	TRUE	
MPL3115A2	431714	TRUE	TRUE	
MPL3115A2-3v3	!431714	TRUE	TRUE	
MPL3115A2-5v	!431714	TRUE	TRUE	
MPU6050	11028	TRUE	TRUE	
MPU9250SF	13762	TRUE	TRUE	
MPU9255	229604	FALSE	TRUE	
MQ135	398790	TRUE	TRUE	
MQ1353v3	!398790	TRUE	TRUE	
MQ1355v	!398790	TRUE	TRUE	
MQ2	398782	TRUE	TRUE	
MQ23v3	!398782	TRUE	TRUE	
MQ25v	!398782	TRUE	TRUE	
MQ3	398783	TRUE	TRUE	
MQ33v3	!398783	TRUE	TRUE	
MQ35v	!398783	TRUE	TRUE	
MQ4	398784	TRUE	TRUE	
MQ43v3	!398784	TRUE	TRUE	
MQ45v	!398784	TRUE	TRUE	
MQ5	398785	TRUE	TRUE	
MQ53v3	!398785	TRUE	TRUE	
MQ55v	!398785	TRUE	TRUE	
MQ6	398786	TRUE	TRUE	
MQ63v3	!398786	TRUE	TRUE	
MQ65v	!398786	TRUE	TRUE	
MQ7	398787	TRUE	TRUE	
MQ73v3	!398787	TRUE	TRUE	
MQ75v	!398787	TRUE	TRUE	
MQ7SF	9403	TRUE	TRUE	
MQ7SF3v3	!9403	TRUE	TRUE	
MQ7SF5v	!9403	TRUE	TRUE	
MQ8	398788	TRUE	TRUE	
MQ83v3	!398788	TRUE	TRUE	
MQ85v	!398788	TRUE	TRUE	
MQ9	398789	TRUE	TRUE	
MQ93v3	!398789	TRUE	TRUE	
MQ95v	!398789	TRUE	TRUE	
NodeMCU1.0	360216	FALSE	FALSE	
NodeMCU1.0_ExPower	!360216	FALSE	FALSE	
NodeMCU1.0_USB	!360216	FALSE	FALSE	
Nokia5110LCD	10168	FALSE	TRUE	
NRF24L01	748665	TRUE	TRUE	
OLED128X32	985157	TRUE	TRUE	
OLED128X32-3v3	!985157	TRUE	TRUE	
OLED128X32-5v	!985157	TRUE	TRUE	
OLED128X64	466193	FALSE	TRUE	
OLED128X643v3	!466193	FALSE	TRUE	
OLED128X645v	!466193	FALSE	TRUE	
PeristalticPump	898128	TRUE	TRUE	
PiezoSensor	10293	TRUE	TRUE	
PiezoSpeaker	7950	TRUE	TRUE	
PiezoSpeaker3v3	!7950	TRUE	TRUE	
PiezoSpeaker5v	!7950	TRUE	TRUE	
PiezoVibration	117693	TRUE	TRUE	
PIRGeneric	931983	TRUE	TRUE	
PIRMini	341233	TRUE	TRUE	
Potentiometer	9939	TRUE	TRUE	
Potentiometer3v3	!9939	TRUE	TRUE	
Potentiometer5v	!9939	TRUE	TRUE	
PotentiometerSlide	698520	TRUE	TRUE	
PotentiometerSlide3v3	!698520	TRUE	TRUE	
PotentiometerSlide5v	!698520	TRUE	TRUE	
PotentiometerSoft	8680	TRUE	TRUE	
PotentiometerSoft3v3	!8680	TRUE	TRUE	
PotentiometerSoft5v	!8680	TRUE	TRUE	
PotentiometerTrim	172542	TRUE	TRUE	
PotentiometerTrim3v3	!172542	TRUE	TRUE	
PotentiometerTrim5v	!172542	TRUE	TRUE	
PowerBankUSB5v	783869	TRUE	TRUE	
PowerSupply12v	9442	TRUE	TRUE	
PowerSupply12vExt	9444	TRUE	TRUE	
PowerSupply5vUSBMicro	9443	TRUE	TRUE	
pullPushSolenoid	11015	TRUE	TRUE	
pullPushSolenoidLarge	10457	TRUE	TRUE	
PushButton	97	TRUE	TRUE	
PushButton3v3	!97	TRUE	TRUE	
PushButton5v	!97	TRUE	TRUE	
PushButtonArcade	62012	TRUE	TRUE	
PushButtonArcadeNoLED	689245	TRUE	TRUE	
PushButtonArcadeNoLED3v3	!689245	TRUE	TRUE	
PushButtonArcadeNoLED5v	!689245	TRUE	TRUE	
PushButtonMomentary	942700	TRUE	TRUE	
PushButtonMomentary3v3	!942700	TRUE	TRUE	
PushButtonMomentary5v	!942700	TRUE	TRUE	
ReedSwitch	8642	TRUE	TRUE	
ReedSwitch3v3	!8642	TRUE	TRUE	
ReedSwitch5v	!8642	TRUE	TRUE	
Relay	100	TRUE	TRUE	
Relay3v3	!100	TRUE	TRUE	
Relay5v	!100	TRUE	TRUE	
RelayModule	3061987	TRUE	TRUE	
RelayModule4ch	442979	TRUE	TRUE	
RelayModuleGravity	487601	TRUE	TRUE	
ResistiveTouchScreen	276649	TRUE	TRUE	
ResistiveTouchScreen3v3	!276649	TRUE	TRUE	
ResistiveTouchScreen5v	!276649	TRUE	TRUE	
RFID	761981	FALSE	TRUE	
RGBGesture	12787	FALSE	TRUE	
RGBLedAnode	10820	TRUE	TRUE	
RGBLedAnode3.3v	!10820	TRUE	TRUE	
RGBLedAnode5v	!10820	TRUE	TRUE	
RGBSensor	12829	TRUE	TRUE	
RotaryEncoder	217614	TRUE	TRUE	
RotaryEncoderDigital	!217614	TRUE	TRUE	
RotaryEncoderEN11	860025	TRUE	TRUE	
RotaryEncoderEN11Digital	!860025	TRUE	TRUE	
RotaryEncoderEN11Int	!860025	TRUE	TRUE	
RotaryEncoderInt	!217614	TRUE	TRUE	
RotaryEncoderInt3v3	!217614	TRUE	TRUE	
RPI3B	!200000	FALSE	FALSE	
RPI3BExt	!200000	FALSE	FALSE	
RPI3BFirst	200000	FALSE	FALSE	
RTC	821989	TRUE	TRUE	
RTCPCF	113323	TRUE	TRUE	
RTCPCF3v3	!113323	TRUE	TRUE	
RTCPCF5v	!113323	TRUE	TRUE	
SD	1671987	FALSE	TRUE	
SDMicroSF	520501	FALSE	TRUE	
serLCD	9395	TRUE	TRUE	
Servo360	10189	TRUE	TRUE	
Servo360Micro	10190	TRUE	TRUE	
Servo9g	2345678	TRUE	TRUE	
ServoMD	10334	TRUE	TRUE	
ServoSM	10333	TRUE	TRUE	
SevenSegment	11441	FALSE	TRUE	
SevenSegmentBare_Quad	11409	FALSE	TRUE	
SevenSegmentBare_Quad_withShiftReg	!11409	FALSE	TRUE	
SevenSegmentBare_Quad_woShiftReg	!11409	FALSE	TRUE	
SevenSegmentBare_Single	375026	FALSE	TRUE	
SevenSegmentI2C	!11441	TRUE	TRUE	
SevenSegmentSWSer	!11441	TRUE	TRUE	
SGP30	35286	TRUE	TRUE	
SGP30-3v3	!35286	TRUE	TRUE	
SGP30-5v	!35286	TRUE	TRUE	
SIM800L	316349	FALSE	TRUE	
SIM800L_HardwareSerial	!316349	FALSE	TRUE	
SIM800L_SoftwareSerial	!316349	FALSE	TRUE	
SlideSwitch	166716	TRUE	TRUE	
SlideSwitch3v3	!166716	TRUE	TRUE	
SlideSwitch5v	!166716	TRUE	TRUE	
SmallStepperMotor	9239	TRUE	TRUE	
SoilMoisture	13322	TRUE	TRUE	
SoilMoisture3v3	!13322	TRUE	TRUE	
SoilMoisture5v	!13322	TRUE	TRUE	
SolenoidLock	842876	TRUE	TRUE	
SolenoidValve	10456	TRUE	TRUE	
SparkFunSoundDetector	93712	TRUE	TRUE	
Speaker05W	197253	TRUE	TRUE	
StepperMotor	9238	TRUE	TRUE	
StepperMotorSmallGeared	9240	TRUE	TRUE	
SubWaterPump	987654	TRUE	TRUE	
SurfaceTransducer	546148	TRUE	TRUE	
TCRT5000L	315997	TRUE	TRUE	
TCRT5000L3v3	!315997	TRUE	TRUE	
TCRT5000L5v	!315997	TRUE	TRUE	
TCS230	55648	FALSE	TRUE	
TCS34725	268781	FALSE	TRUE	
TCS34725-3v3	!268781	FALSE	TRUE	
TCS34725-5v	!268781	FALSE	TRUE	
Thermistor	149486	TRUE	TRUE	
Thermistor3v3	!149486	TRUE	TRUE	
Thermistor5v	!149486	TRUE	TRUE	
TiltSW	10289	TRUE	TRUE	
TiltSW3v3	!10289	TRUE	TRUE	
TiltSW5v	!10289	TRUE	TRUE	
TMP102	11931	TRUE	TRUE	
TMP36	844727	TRUE	TRUE	
TMP36-3v3	!844727	TRUE	TRUE	
TMP36-5v	!844727	TRUE	TRUE	
ToggleSwitch	243599	TRUE	TRUE	
ToggleSwitch3v3	!243599	TRUE	TRUE	
ToggleSwitch5v	!243599	TRUE	TRUE	
TSL2591	44359	FALSE	TRUE	
TSL2591-3v3	!44359	FALSE	TRUE	
TSL2591-5v	!44359	FALSE	TRUE	
TSOP38238	10266	TRUE	TRUE	
TSOP382383v3	!10266	TRUE	TRUE	
TSOP382385v	!10266	TRUE	TRUE	
UltraSonic	639	TRUE	TRUE	
UltraSonic3v3	!639	TRUE	TRUE	
UltraSonic5v	!639	TRUE	TRUE	
USBPowerB	512	FALSE	FALSE	
USBPowerMicro	513	TRUE	TRUE	
USBPowerMini	!514	FALSE	FALSE	
USBPowerMiniFirst	514	FALSE	FALSE	
USBPowerMiniWithFTDI3v3	!514	TRUE	FALSE	
USBPowerMiniWithFTDI5v	!514	TRUE	FALSE	
UVSensor	934121	TRUE	TRUE	
UVSensorSI1145	534630	FALSE	TRUE	
UVSensorSI1145-3v3	!534630	FALSE	TRUE	
UVSensorSI1145-5v	!534630	FALSE	TRUE	
VaccumPump	10398	TRUE	TRUE	
VibrationMotor	8449	TRUE	TRUE	
VibrationSensor	773723	TRUE	TRUE	
VibrationSensor3v3	!773723	TRUE	TRUE	
VibrationSensor5v	!773723	TRUE	TRUE	
WaterFlow	641455	TRUE	TRUE	
WaterFlow3v3	!641455	TRUE	TRUE	
WaterFlow5v	!641455	TRUE	TRUE	
WaterLevelSensor	752394	TRUE	TRUE	
WaterLevelSensor3v3	!752394	TRUE	TRUE	
WaterLevelSensor5v	!752394	TRUE	TRUE	
WaterLevelSW	790562	TRUE	TRUE	
WaterPressureSensor	267055	TRUE	TRUE	
WaterPressureSensor3v3	!267055	TRUE	TRUE	
WaterPressureSensor5v	!267055	TRUE	TRUE	
WheelEncoder	774824	TRUE	TRUE	
WheelEncoderDigital	!774824	TRUE	TRUE	
WheelEncoderInt	!774824	FALSE	TRUE	
